Name;Firstname;OU;Password
Christian;Anne;Administrasjon;Passord1
Steinar;Inger;Administrasjon;Passord1
Eirik;Kari;Administrasjon;Passord1
Håkon;Marit;Administrasjon;Passord1
Øystein;Ingrid;Administrasjon;Passord1
Henrik;Liv;Administrasjon;Passord1
Frode;Eva;Administrasjon;Passord1
Arild;Berit;Administrasjon;Passord1
Ivar;Astrid;Administrasjon;Passord1
Jørgen;Bjørg;Administrasjon;Passord1
Kjetil;Hilde;Administrasjon;Passord1
Frank;Anna;Administrasjon;Passord1
Stein;Solveig;Administrasjon;Passord1
Johan;Marianne;Administrasjon;Passord1
Sverre;Randi;Administrasjon;Passord1
Magne;Ida;Administrasjon;Passord1
Petter;Nina;Administrasjon;Passord1
Dag;Maria;Lærer;Passord1
Alf;Elisabeth;Lærer;Passord1
Egil;Kristin;Lærer;Passord1
Vidar;Bente;Lærer;Passord1
Stig;Heidi;Lærer;Passord1
Karl;Silje;Lærer;Passord1
Jonas;Hanne;Lærer;Passord1
Pål;Gerd;Lærer;Passord1
Kenneth;Linda;Lærer;Passord1
Tommy;Tone;Lærer;Passord1
Roger;Tove;Lærer;Passord1
Ola;Elin;Lærer;Passord1
Kristoffer;Anita;Lærer;Passord1
Erling;Wenche;Lærer;Passord1
Håvard;Ragnhild;Lærer;Passord1
Thor;Camilla;Lærer;Passord1
Reidar;Ellen;Lærer;Passord1
Eivind;Karin;Lærer;Passord1
Asbjørn;Hege;Lærer;Passord1
Finn;Ann;Lærer;Passord1
Jens;Else;Lærer;Passord1
Roy;Mona;Lærer;Passord1
Alexander;Marie;Lærer;Passord1
Kim;Aud;Lærer;Passord1
Torbjørn;Monica;Lærer;Passord1
Bjarne;Julie;Elev;Passord1
Roar;Kristine;Elev;Passord1
Simen;Turid;Elev;Passord1
Vegard;Laila;Elev;Passord1
Arvid;Reidun;Elev;Passord1
Jarle;Stine;Elev;Passord1
Johannes;Helene;Elev;Passord1
Robert;Åse;Elev;Passord1
Sondre;Jorunn;Elev;Passord1
Mathias;Sissel;Elev;Passord1
Ove;Mari;Elev;Passord1
Trygve;Line;Elev;Passord1
Sigurd;Lene;Elev;Passord1
Sindre;Mette;Elev;Passord1
Jostein;Grethe;Elev;Passord1
Joakim;Trine;Elev;Passord1
Erlend;Unni;Elev;Passord1
Jørn;Malin;Elev;Passord1
Oddvar;Grete;Elev;Passord1
Andre;Thea;Elev;Passord1
Atle;Gunn;Elev;Passord1
Ronny;Emma;Elev;Passord1
Mats;May;Elev;Passord1
Emil;Ruth;Elev;Passord1
Ragnar;Lise;Elev;Passord1
Inge;Emilie;Elev;Passord1
Henning;Anette;Elev;Passord1
Aleksander;Kirsten;Elev;Passord1
Lasse;Sara;Elev;Passord1
Paul;Nora;Elev;Passord1
Even;Linn;Elev;Passord1
Kai;Eli;Elev;Passord1
Sander;Siri;Elev;Passord1
Markus;Cecilie;Elev;Passord1
Adrian;Irene;Elev;Passord1
Johnny;Marte;Elev;Passord1
Bjørnar;Gro;Elev;Passord1
Arve;Britt;Elev;Passord1
Tobias;Ingeborg;Elev;Passord1
Åge;Kjersti;Elev;Passord1
Øivind;Janne;Elev;Passord1
Sebastian;Siv;Elev;Passord1
David;Sigrid;Elev;Passord1
Sven;Karoline;Elev;Passord1
Torstein;Karen;Elev;Passord1
Christoffer;Vilde;Elev;Passord1
Robin;Martine;Elev;Passord1
Peder;Tonje;Elev;Passord1
Bård;Andrea;Elev;Passord1
Benjamin;Sofie;Elev;Passord1
Audun;Torill;Elev;Passord1
Birger;Synnøve;Elev;Passord1
Glenn;Rita;Elev;Passord1
Ståle;Jenny;Elev;Passord1
Kurt;Cathrine;Elev;Passord1
