Name;Firstname;OU;Password
Amelia;Treva;Tertitten.no/Administrasjon;Passord1
Kimi;Malika;Tertitten.no/Salg;Passord1
Alexis;Katharina;Tertitten.no/Administrasjon;Passord1
Christina;Tenesha;Tertitten.no/Systemutvikling;Passord1
Tina;Aron;Tertitten.no/Systemutvikling;Passord1
Gertha;Rosenda;Tertitten.no/Systemutvikling;Passord1
Tisa;Burt;Tertitten.no/Interaksjonsdesign;Passord1
Charissa;Trent;Tertitten.no/Interaksjonsdesign;Passord1
Cruz;Ka;Tertitten.no/Systemutvikling;Passord1
Robbyn;Craig;Tertitten.no/Systemutvikling;Passord1
Leona;Clint;Tertitten.no/Systemutvikling;Passord1
Marcelino;Shalonda;Tertitten.no/Systemutvikling;Passord1
Leola;Adelaida;Tertitten.no/Systemutvikling;Passord1
Vern;Cyndi;Tertitten.no/Systemutvikling;Passord1
Neda;Pansy;Tertitten.no/Systemutvikling;Passord1
Shavonda;Zelda;Tertitten.no/Ledelse;Passord1
Bergh;Tom;Tertitten.no/Ledelse;Passord1
